0,4,1
0,21,1
0,37,1
0,14,1
20,22,1
0,40,0
16,40,1
0,47,0
0,166,0
0,52,1
0,22,1
19,48,1
15,13,1
16,19,0
0,12,1
0,23,1
0,24,0
0,27,1
12,37,1
0,24,1
0,25,1
19,69,1
0,15,1
0,20,1
13,32,1
18,82,1
0,39,1
18,29,0
0,19,1
0,6,0
6,18,1
7,73,1
7,16,1
20,20,1
17,12,1
0,21,1
14,8,0
0,53,1
7,9,1
20,17,1
0,21,1
20,65,1
0,72,1
0,8,1
20,30,1
0,20,1
0,2,0
14,9,1
0,23,1
0,25,0
7,47,0
19,21,1
0,24,0
3,18,1
0,26,0
14,58,1
0,63,1
0,106,1
0,23,0
7,55,1
0,49,0
18,20,0
0,8,0
0,25,1
18,13,0
19,27,1
0,4,0
16,47,1
0,24,1
0,66,1
15,42,1
15,15,1
14,10,1
12,19,1
0,25,1
0,6,1
0,7,1
0,16,0
0,23,1
17,88,1
0,2,1
17,71,1
15,46,1
0,29,1
0,15,1
0,35,1
0,9,1
0,16,1
17,17,0
5,10,1
0,48,1
0,19,0
17,13,1
0,24,0
0,50,0
0,13,1
15,51,1
17,14,1
0,22,1
0,42,1
0,16,1
20,15,1
0,23,1
11,22,1
0,12,0
0,16,1
0,33,1
0,36,1
3,22,1
13,70,1
19,18,1
0,184,0
7,57,0
0,50,0
15,15,1
0,36,1
0,31,1
11,25,0
0,27,1
20,19,1
0,10,0
0,55,0
10,16,0
18,56,1
7,13,1
0,31,1
0,34,1
9,29,1
9,16,0
0,62,1
15,42,0
0,35,1
0,73,0
0,13,1
0,13,0
0,237,1
0,11,1
0,8,1
0,42,1
0,27,1
5,41,1
19,21,0
0,9,1
0,19,1
0,28,1
0,64,1
19,69,0
0,29,1
17,22,1
16,14,1
0,79,0
7,49,1
0,29,0
18,21,0
0,30,0
0,105,1
0,12,1
0,12,1
13,33,1
0,72,1
8,48,1
17,23,0
0,24,0
20,34,0
14,23,1
19,27,1
13,23,1
0,16,1
0,50,1
0,26,1
0,38,1
0,75,1
0,15,1
1,27,1
